cluster,number_of_accidents,average_accident_time,most_common_day
0,30,2021-09-27 01:50:08+00:00,FRI
1,2,2020-06-07 20:07:00+00:00,SAT
2,8,2021-02-04 01:33:52.500000+00:00,MON
3,29,2022-01-22 20:28:45.517241600+00:00,THU
4,255,2021-08-08 20:38:57.882352896+00:00,FRI
5,2,2020-03-08 08:18:00+00:00,WED
6,366,2021-06-05 09:27:20.655737600+00:00,FRI
7,2,2021-11-14 15:25:00+00:00,THU
8,53,2021-11-17 06:10:28.301886720+00:00,THU
9,1,2020-01-11 00:00:00+00:00,SAT
10,314,2022-01-11 07:41:28.089171968+00:00,THU
11,18,2021-08-03 00:57:20+00:00,SAT
12,7,2021-03-07 02:05:08.571428608+00:00,SUN
13,3,2020-08-28 13:05:00+00:00,MON
14,25,2022-04-13 05:03:40.800000+00:00,WED
15,41,2022-01-04 00:25:13.170731776+00:00,WED
16,12,2021-12-28 07:27:50+00:00,WED
17,73,2021-11-15 19:23:58.356164352+00:00,SAT
18,12,2021-11-10 12:00:00+00:00,THU
19,3,2021-05-27 16:00:00+00:00,MON
20,20,2022-02-03 08:22:03+00:00,THU
21,1,2020-01-22 00:00:00+00:00,WED
22,14,2021-08-18 15:44:29.999999744+00:00,THU
23,3,2020-06-18 21:12:40+00:00,THU
24,6,2021-05-24 00:00:00+00:00,SAT
25,1,2020-01-26 00:00:00+00:00,SUN
26,1,2020-01-24 21:30:00+00:00,FRI
27,17,2021-11-12 21:09:00+00:00,TUE
28,11,2021-06-22 21:41:21.818181888+00:00,WED
29,32,2021-11-07 11:29:16.875000064+00:00,TUE
30,15,2022-01-10 17:30:00+00:00,FRI
31,76,2021-10-10 07:50:24.473684224+00:00,FRI
32,70,2021-08-11 23:51:37.714285568+00:00,FRI
33,1,2020-02-03 00:00:00+00:00,MON
34,28,2021-10-12 19:08:42.857142784+00:00,FRI
35,15,2021-10-21 19:52:59.999999744+00:00,THU
36,4,2021-07-16 21:51:45+00:00,THU
37,5,2022-09-16 22:43:00+00:00,FRI
38,19,2022-03-29 13:45:12.631578880+00:00,FRI
39,12,2021-05-21 15:30:00+00:00,FRI
40,20,2022-07-07 04:50:45+00:00,TUE
41,43,2021-11-12 22:20:16.744186112+00:00,TUE
42,35,2022-03-11 23:53:08.571428608+00:00,MON
43,29,2022-02-04 20:46:04.137931008+00:00,WED
44,38,2021-10-06 12:02:28.421052416+00:00,WED
45,1,2020-02-07 00:00:00+00:00,FRI
46,3,2021-10-07 07:47:00+00:00,SUN
47,1,2020-02-15 00:00:00+00:00,SAT
48,108,2021-07-04 07:47:19.620370432+00:00,THU
49,6,2021-05-19 06:53:10+00:00,TUE
50,143,2021-08-28 13:14:57.062937088+00:00,THU
51,6,2021-03-21 03:50:30+00:00,WED
52,8,2022-06-22 23:37:00+00:00,FRI
53,11,2021-06-16 20:53:16.363636480+00:00,SAT
54,3,2021-07-26 05:34:40+00:00,THU
55,1,2020-02-20 17:40:00+00:00,THU
56,1,2020-02-20 15:15:00+00:00,THU
57,5,2021-08-29 00:00:00+00:00,SAT
58,6,2022-04-20 10:40:20+00:00,WED
59,91,2021-10-11 21:50:15.164835328+00:00,THU
60,26,2021-07-08 16:03:34.615384576+00:00,FRI
61,1,2020-02-22 16:37:00+00:00,SAT
62,174,2021-07-09 14:24:02.068965376+00:00,SAT
63,39,2021-11-07 03:47:53.846153728+00:00,SUN
64,1,2020-03-02 00:00:00+00:00,MON
65,11,2021-12-02 11:34:49.090909184+00:00,TUE
66,29,2021-10-12 08:14:37.241379328+00:00,TUE
67,54,2021-10-30 03:59:25.555555328+00:00,WED
68,87,2021-07-06 10:45:31.034482688+00:00,THU
69,1,2020-02-01 00:00:00+00:00,SAT
70,18,2021-11-15 12:37:46.666666752+00:00,THU
71,90,2021-09-30 19:02:09.333333504+00:00,SUN
72,2,2021-12-02 23:00:00+00:00,THU
73,1,2020-03-07 00:00:00+00:00,SAT
74,1,2020-02-29 00:00:00+00:00,SAT
75,6,2021-08-11 08:00:00+00:00,FRI
76,5,2022-03-10 14:24:00+00:00,SUN
77,33,2022-01-19 01:47:56.363636480+00:00,FRI
78,15,2021-08-06 00:12:24+00:00,THU
79,27,2021-07-22 14:13:20+00:00,TUE
80,4,2021-10-27 06:00:00+00:00,FRI
81,15,2022-03-26 13:34:03.999999744+00:00,WED
82,19,2021-05-07 10:13:28.421052672+00:00,SAT
83,1,2020-03-05 00:00:00+00:00,THU
84,2,2020-07-17 12:00:00+00:00,WED
85,4,2021-06-02 00:00:00+00:00,SUN
86,1,2020-03-10 00:00:00+00:00,TUE
87,71,2021-09-29 12:57:28.732394240+00:00,THU
88,1,2020-03-01 00:00:00+00:00,SUN
89,8,2021-11-21 17:28:52.500000+00:00,THU
90,6,2021-08-07 08:00:00+00:00,WED
91,1,2020-03-20 00:00:00+00:00,FRI
92,453,2021-07-20 11:25:45.960264704+00:00,TUE
93,1,2020-03-12 00:00:00+00:00,THU
94,1,2020-03-23 21:13:00+00:00,MON
95,1,2020-03-19 00:00:00+00:00,THU
96,31,2022-01-08 01:09:00+00:00,SAT
97,2,2021-12-03 10:30:30+00:00,WED
98,8,2021-08-12 22:57:07.500000+00:00,TUE
99,31,2021-07-26 17:28:00+00:00,FRI
100,12,2022-03-23 08:00:00+00:00,SUN
101,2,2021-09-14 12:00:00+00:00,MON
102,53,2022-02-26 15:50:56.603773696+00:00,SAT
103,30,2021-07-07 17:27:22+00:00,MON
104,2,2020-07-29 04:00:00+00:00,THU
105,3,2021-06-08 16:00:00+00:00,SUN
106,71,2021-08-04 16:55:03.380281600+00:00,MON
107,80,2021-11-04 02:19:16.500000+00:00,THU
108,12,2021-10-14 06:36:14.999999744+00:00,SUN
109,213,2021-08-11 05:15:25.070422272+00:00,SAT
110,7,2022-05-08 03:25:42.857142784+00:00,WED
111,22,2021-12-05 20:27:57.272727296+00:00,THU
112,55,2021-11-03 20:41:26.181818368+00:00,TUE
113,12,2022-07-02 23:20:00+00:00,SUN
114,46,2021-05-21 19:55:29.999999744+00:00,MON
115,7,2021-11-16 00:00:00+00:00,SUN
116,11,2021-09-10 00:41:16.363636480+00:00,FRI
117,20,2021-12-16 06:41:21+00:00,SUN
118,122,2021-12-19 14:34:15.245901568+00:00,TUE
119,1,2020-05-02 00:00:00+00:00,SAT
120,10,2021-06-03 13:20:12+00:00,FRI
121,4,2021-01-29 22:43:45+00:00,FRI
122,8,2021-07-09 21:00:00+00:00,FRI
123,1,2020-05-03 00:00:00+00:00,SUN
124,11,2021-10-26 06:32:43.636363520+00:00,SAT
125,48,2021-10-01 01:25:20+00:00,WED
126,1,2020-05-15 00:00:00+00:00,FRI
127,46,2021-12-27 03:59:58.695652352+00:00,FRI
128,1,2020-05-17 00:00:00+00:00,SUN
129,2,2020-05-22 00:00:00+00:00,FRI
130,18,2021-10-01 15:40:00+00:00,FRI
131,75,2021-08-16 12:28:24+00:00,THU
132,3,2021-08-28 08:00:00+00:00,MON
133,8,2021-12-24 21:00:00+00:00,SUN
134,6,2021-05-28 16:00:00+00:00,FRI
135,1,2020-05-26 00:00:00+00:00,TUE
136,17,2021-07-18 19:45:52.941176576+00:00,TUE
137,1,2020-05-28 00:00:00+00:00,THU
138,13,2022-02-11 22:33:00.000000256+00:00,WED
139,10,2022-01-11 04:48:00+00:00,THU
140,7,2021-10-26 21:55:34.285714176+00:00,TUE
141,11,2021-08-14 07:09:49.090909184+00:00,FRI
142,3,2020-08-23 00:00:00+00:00,THU
143,19,2021-06-21 12:05:03.157894656+00:00,THU
144,109,2021-07-12 06:52:08.807339264+00:00,THU
145,1,2020-05-05 00:00:00+00:00,TUE
146,4,2022-03-21 06:00:00+00:00,SAT
147,2,2021-06-05 12:00:00+00:00,THU
148,5,2021-08-29 00:00:00+00:00,TUE
149,4,2020-04-10 18:00:00+00:00,WED
150,3,2021-06-01 08:00:00+00:00,THU
151,1,2020-06-13 00:00:00+00:00,SAT
152,5,2020-10-10 09:36:00+00:00,WED
153,1,2020-06-24 19:25:00+00:00,WED
154,18,2022-05-02 10:40:00+00:00,FRI
155,8,2022-01-12 11:41:30+00:00,WED
156,1,2020-06-27 00:00:00+00:00,SAT
157,27,2021-12-12 09:00:09.111111168+00:00,THU
158,1,2020-06-27 00:00:00+00:00,SAT
159,17,2022-01-10 00:59:07.058823680+00:00,THU
160,9,2021-12-12 02:40:00+00:00,SAT
161,5,2021-05-20 04:00:00+00:00,MON
162,1,2020-06-30 00:00:00+00:00,TUE
163,1,2020-07-05 00:00:00+00:00,SUN
164,2,2020-05-23 12:00:00+00:00,WED
165,1,2020-07-05 00:00:00+00:00,SUN
166,18,2022-01-19 09:33:33.333333248+00:00,MON
167,1,2020-07-06 17:27:00+00:00,MON
168,9,2021-12-10 00:28:20+00:00,THU
169,12,2021-11-27 18:00:00+00:00,THU
170,27,2021-07-09 21:59:46.666666752+00:00,FRI
171,145,2021-11-18 11:39:48+00:00,THU
172,6,2022-03-10 12:00:00+00:00,WED
173,2,2021-03-13 21:11:00+00:00,SAT
174,1,2020-07-18 00:00:00+00:00,SAT
175,4,2021-01-15 15:48:45+00:00,WED
176,13,2021-12-13 08:38:46.153846272+00:00,WED
