cluster,num_of_accidents,at_intersection,total_vehicles,avg_vehicles,average_days_ago,avg_accident_time,kmeans_cluster,agglomerative_cluster
0,30,0.4666666666666667,58,1.9333333333333331,733,66557,6,4
1,2,0.5,4,2.0,1210,13170,4,2
2,8,0.5,17,2.125,968,65864,3,3
3,29,0.6551724137931034,62,2.1379310344827585,616,17661,6,4
4,2,0.5,4,2.0,1301,7829,4,2
5,2,1.0,4,2.0,685,12300,2,2
6,54,0.6666666666666666,107,1.9814814814814812,677,10344,1,5
7,1,1.0,2,2.0,1359,78060,3,3
8,18,0.4444444444444444,27,1.5,788,6358,6,2
9,7,0.5714285714285714,15,2.142857142857143,937,16507,2,2
10,3,0.0,4,1.3333333333333333,1128,10504,4,1
11,25,0.72,53,2.12,535,18126,6,4
12,41,0.5121951219512195,76,1.853658536585366,634,69976,6,4
13,12,0.8333333333333334,20,1.6666666666666667,641,67003,3,3
14,73,0.3013698630136986,214,2.9315068493150687,684,18724,1,5
15,12,0.9166666666666666,24,2.0,689,19497,2,2
16,3,0.0,4,1.3333333333333333,856,77522,0,0
17,20,0.6,40,2.0,604,66568,6,4
18,1,0.0,2,2.0,1348,14700,4,1
19,14,0.5,26,1.8571428571428568,773,21083,6,2
20,3,0.6666666666666666,3,1.0,1199,69630,3,3
21,6,0.8333333333333334,13,2.1666666666666665,860,21133,2,2
22,1,0.0,2,2.0,1345,77400,0,1
23,17,0.4705882352941176,33,1.9411764705882355,687,19455,6,2
24,11,0.8181818181818182,22,2.0,830,2217,2,2
25,32,0.8125,73,2.28125,692,20091,6,4
26,15,0.6,30,2.0,628,14925,6,2
27,76,0.7631578947368421,163,2.1447368421052637,720,14863,1,5
28,28,0.5,60,2.142857142857143,718,72345,6,4
29,15,0.5333333333333333,24,1.6,709,18334,6,2
30,4,0.25,4,1.0,806,21188,4,2
31,5,0.4,13,2.6,379,21549,5,6
32,19,0.7894736842105263,35,1.8421052631578947,550,16352,6,2
33,20,0.85,38,1.9,450,82624,6,4
34,43,0.6046511627906976,82,1.9069767441860463,687,69077,1,4
35,35,0.6857142857142857,64,1.8285714285714283,568,81661,6,4
36,29,0.8275862068965517,60,2.0689655172413794,603,70954,6,4
37,38,0.4473684210526316,72,1.894736842105263,724,21483,6,4
38,1,0.0,2,2.0,1332,65220,0,1
39,3,0.6666666666666666,6,2.0,723,18231,2,2
40,1,0.0,1,1.0,1324,120,4,0
41,6,0.8333333333333334,11,1.8333333333333333,864,14417,2,2
42,1,0.0,1,1.0,1321,12179,4,0
43,8,0.0,8,1.0,465,77827,0,0
44,11,0.8181818181818182,21,1.9090909090909087,836,14113,2,2
45,3,0.0,6,2.0,796,10867,4,1
46,1,0.0,2,2.0,1318,20399,4,1
47,1,0.0,1,1.0,1318,11699,4,0
48,5,1.0,12,2.4,763,14376,2,2
49,6,0.6666666666666666,11,1.8333333333333333,528,71395,3,3
50,26,0.8076923076923077,50,1.9230769230769231,814,8934,6,4
51,1,0.0,1,1.0,1316,16620,4,0
52,39,0.6666666666666666,79,2.025641025641025,692,70422,6,4
53,1,0.0,2,2.0,1308,72900,0,1
54,11,0.6363636363636364,25,2.272727272727273,667,66815,3,3
55,29,0.7241379310344828,58,2.0,718,10764,6,4
56,54,0.5925925925925926,108,2.0,700,76873,1,5
57,18,0.4444444444444444,44,2.4444444444444446,684,17652,6,2
58,90,0.7555555555555555,190,2.111111111111111,730,67363,1,5
59,2,0.5,4,2.0,667,81690,3,3
60,1,0.0,2,2.0,1310,80100,0,1
61,6,0.0,6,1.0,780,67508,0,0
62,5,0.0,10,2.0,569,1027,5,1
63,33,0.696969696969697,74,2.242424242424242,619,74966,6,4
64,15,0.7333333333333333,26,1.7333333333333334,785,66423,6,4
65,27,0.8518518518518519,59,2.185185185185185,800,73102,6,4
66,4,1.0,8,2.0,703,84507,3,3
67,15,0.6666666666666666,34,2.2666666666666666,553,67256,6,4
68,19,0.1578947368421052,36,1.894736842105263,876,14941,6,2
69,1,0.0,3,3.0,1305,7200,5,1
70,2,0.0,4,2.0,1170,68400,0,1
71,4,0.75,7,1.75,851,73174,3,3
72,71,0.5211267605633803,145,2.0422535211267605,731,86327,1,5
73,1,0.0,4,4.0,1309,13620,5,1
74,8,0.125,9,1.125,678,68021,0,0
75,6,0.5,10,1.6666666666666667,784,1063,2,2
76,1,0.0,1,1.0,1290,67800,0,0
77,1,0.0,2,2.0,1298,5400,4,1
78,1,0.0,2,2.0,1286,76380,0,1
79,1,0.0,1,1.0,1291,81000,0,0
80,31,0.7741935483870968,60,1.935483870967742,630,73147,6,4
81,1,1.0,1,1.0,1284,75660,3,3
82,8,0.625,18,2.25,779,9845,2,2
83,31,0.8387096774193549,62,2.0,796,16726,6,4
84,12,0.6666666666666666,21,1.75,556,73854,3,3
85,2,0.5,4,2.0,746,72660,3,3
86,62,0.532258064516129,130,2.096774193548387,574,16867,1,5
87,2,0.0,4,2.0,1158,82230,0,1
88,3,0.6666666666666666,5,1.6666666666666667,844,82667,3,3
89,71,0.8169014084507042,140,1.971830985915493,787,18292,1,5
90,12,0.9166666666666666,26,2.1666666666666665,716,69070,6,3
91,4,0.75,9,2.25,836,20029,2,2
92,7,1.0,14,2.0,510,18243,2,2
93,22,0.6818181818181818,44,2.0,664,15209,6,4
94,55,0.7636363636363637,115,2.090909090909091,696,69689,1,5
95,22,0.8636363636363636,41,1.8636363636363635,601,14224,6,4
96,7,0.5714285714285714,15,2.142857142857143,684,9663,2,2
97,11,0.4545454545454545,22,2.0,750,4109,2,2
98,34,0.6176470588235294,59,1.7352941176470589,686,16841,6,4
99,1,1.0,2,2.0,1247,7500,2,2
100,10,0.8,19,1.9,849,73795,3,3
101,4,0.75,5,1.25,974,18794,2,2
102,8,0.875,19,2.375,813,15471,2,2
103,1,1.0,2,2.0,1246,74701,3,3
104,11,0.9090909090909092,25,2.272727272727273,704,12319,2,2
105,48,0.5416666666666666,89,1.8541666666666667,729,73771,1,4
106,1,1.0,2,2.0,1234,65700,3,3
107,46,0.8260869565217391,101,2.1956521739130435,642,66698,1,4
108,1,0.0,1,1.0,1232,73200,0,0
109,3,1.0,5,1.6666666666666667,1017,79250,3,3
110,18,0.6111111111111112,38,2.111111111111111,729,6980,6,2
111,3,0.6666666666666666,3,1.0,763,1122,2,2
112,8,0.875,15,1.875,645,18494,2,2
113,7,0.1428571428571428,12,1.7142857142857142,745,4904,4,2
114,1,0.0,1,1.0,1223,67500,0,0
115,20,0.55,34,1.7,884,71883,6,4
116,1,0.0,2,2.0,1221,83700,0,1
117,13,0.5384615384615384,16,1.2307692307692308,596,66943,3,3
118,7,1.0,14,2.0,704,11190,2,2
119,11,0.6363636363636364,21,1.9090909090909087,777,19902,2,2
120,19,0.631578947368421,36,1.894736842105263,831,79675,6,4
121,4,0.75,8,2.0,558,20703,2,2
122,2,0.5,5,2.5,847,75540,3,3
123,5,0.2,5,1.0,763,76489,0,0
124,4,0.75,9,2.25,1268,16731,2,2
125,3,0.3333333333333333,4,1.3333333333333333,851,66760,0,3
126,1,0.0,1,1.0,1205,16199,4,0
127,5,0.6,6,1.2,1085,67659,3,3
128,18,0.5555555555555556,35,1.9444444444444444,516,17401,6,2
129,1,1.0,2,2.0,1191,18899,2,2
130,27,0.5925925925925926,52,1.9259259259259256,657,17613,6,4
131,1,0.0,1,1.0,1191,81840,0,0
132,17,0.4705882352941176,35,2.0588235294117645,628,17429,6,2
133,9,0.4444444444444444,18,2.0,657,5901,2,2
134,1,0.0,0,0.0,1188,75240,0,0
135,1,0.0,2,2.0,1183,85500,0,1
136,2,1.0,2,1.0,1225,7860,2,2
137,1,0.0,2,2.0,1183,74701,0,1
138,22,0.5,40,1.818181818181818,685,66073,6,4
139,1,1.0,2,2.0,1181,19619,2,2
140,9,0.6666666666666666,17,1.8888888888888888,659,65253,3,3
141,12,0.8333333333333334,21,1.75,672,19028,2,2
142,6,0.5,10,1.6666666666666667,569,72395,3,3
143,2,0.5,5,2.5,931,19409,2,2
144,1,1.0,2,2.0,1170,11459,2,2
145,4,0.25,4,1.0,988,81698,0,3
146,13,0.6923076923076923,28,2.1538461538461537,656,71901,6,3
147,6,0.3333333333333333,9,1.5,581,16224,4,2
148,1,1.0,2,2.0,1160,19020,2,2
149,4,0.75,8,2.0,1090,9584,2,2
150,5,0.8,10,2.0,738,8109,2,2
151,1,0.0,0,0.0,1155,71041,0,0
152,1,1.0,2,2.0,1169,3959,2,2
153,1,0.0,1,1.0,1152,83400,0,0
154,2,0.5,4,2.0,837,70140,3,3
155,60,0.5166666666666667,153,2.55,530,14567,1,5
156,1,1.0,2,2.0,1146,77340,3,3
157,43,0.813953488372093,94,2.186046511627907,675,66947,1,4
158,5,0.2,11,2.2,652,83511,0,3
159,2,1.0,3,1.5,1220,76650,3,3
160,4,0.75,3,0.75,926,84424,3,3
161,8,0.75,14,1.75,546,15504,2,2
162,6,0.5,11,1.8333333333333333,563,67832,3,3
163,3,0.0,2,0.6666666666666666,735,4979,4,6
164,45,0.8,94,2.088888888888889,613,67386,1,4
165,3,1.0,6,2.0,723,12609,2,2
166,1,0.0,2,2.0,1141,67320,0,1
167,2,0.5,4,2.0,793,13289,2,2
168,1,0.0,1,1.0,1135,73801,0,0
169,69,0.4057971014492754,139,2.0144927536231885,578,17339,1,5
170,2,0.0,5,2.5,776,21600,5,1
171,2,0.0,4,2.0,595,5549,5,6
172,2,0.5,3,1.5,907,71460,3,3
173,16,0.5,33,2.0625,623,66922,6,4
174,5,0.8,9,1.8,779,16722,2,2
175,18,0.8888888888888888,34,1.8888888888888888,740,66395,6,4
176,1,0.0,2,2.0,1118,69780,0,1
177,1,0.0,1,1.0,1116,72121,0,0
178,3,0.6666666666666666,6,2.0,647,64818,3,3
179,7,0.4285714285714285,15,2.142857142857143,507,69954,3,3
180,22,0.8181818181818182,46,2.090909090909091,703,71421,6,4
181,21,0.8571428571428571,44,2.095238095238096,640,65887,6,4
182,68,0.4558823529411764,118,1.7352941176470589,681,73050,1,5
183,2,1.0,4,2.0,1061,85320,3,3
184,1,1.0,1,1.0,1113,67080,3,3
185,1,0.0,3,3.0,1107,7800,5,1
186,8,0.5,15,1.875,732,76197,3,3
187,1,0.0,1,1.0,1106,81420,0,0
188,1,1.0,1,1.0,1106,10799,2,2
189,2,1.0,5,2.5,586,7559,2,2
190,3,1.0,6,2.0,926,78204,3,3
191,9,0.7777777777777778,13,1.4444444444444444,514,82801,3,3
192,25,0.72,46,1.84,574,16747,6,4
193,41,0.8536585365853658,85,2.073170731707317,759,66126,1,4
194,6,0.8333333333333334,13,2.1666666666666665,653,85288,3,3
195,10,0.6,20,2.0,707,76761,3,3
196,4,0.5,8,2.0,420,83617,3,3
197,1,0.0,1,1.0,1095,6000,4,0
198,62,0.532258064516129,130,2.096774193548387,473,20954,1,5
199,1,1.0,1,1.0,1100,77760,3,3
200,22,0.8636363636363636,45,2.0454545454545454,678,14850,6,4
201,1,0.0,2,2.0,1090,6599,4,1
202,3,0.3333333333333333,5,1.6666666666666667,825,16184,4,2
203,10,0.9,24,2.4,766,20648,2,2
204,4,1.0,6,1.5,836,70478,3,3
205,3,0.3333333333333333,7,2.333333333333333,879,13147,5,2
206,1,1.0,2,2.0,1080,15600,2,2
207,18,0.5555555555555556,38,2.111111111111111,472,20635,6,2
208,2,1.0,4,2.0,1172,75600,3,3
209,27,0.2222222222222222,59,2.185185185185185,642,65234,6,4
210,6,0.3333333333333333,11,1.8333333333333333,615,13690,2,2
211,8,0.625,15,1.875,873,65448,3,3
212,26,0.8846153846153846,54,2.076923076923077,576,68477,6,4
213,13,0.3846153846153846,17,1.3076923076923077,717,80833,0,3
214,17,0.7058823529411765,35,2.0588235294117645,671,4803,6,2
215,13,0.7692307692307693,27,2.076923076923077,697,16095,6,2
216,1,1.0,1,1.0,1073,14999,2,2
217,1,1.0,2,2.0,1066,83940,3,3
218,5,0.6,9,1.8,410,14490,2,2
219,2,0.5,4,2.0,783,2099,2,2
220,4,0.5,6,1.5,757,10734,2,2
221,2,0.5,5,2.5,1025,66120,3,3
222,3,1.0,4,1.3333333333333333,864,72644,3,3
223,1,0.0,2,2.0,1055,72240,0,1
224,11,0.6363636363636364,17,1.5454545454545454,1035,4929,2,2
225,12,0.6666666666666666,23,1.9166666666666667,924,10134,2,2
226,1,1.0,2,2.0,1046,10980,2,2
227,2,1.0,4,2.0,959,85680,3,3
228,9,0.4444444444444444,18,2.0,485,14821,2,2
229,1,0.0,1,1.0,1049,4620,4,0
230,41,0.5609756097560976,92,2.2439024390243905,643,66917,1,4
231,25,0.8,51,2.04,632,20256,6,4
232,3,0.6666666666666666,7,2.333333333333333,691,3067,2,2
233,1,0.0,1,1.0,1040,72300,0,0
234,13,0.6923076923076923,28,2.1538461538461537,606,13332,6,2
235,25,0.68,52,2.08,761,17392,6,4
236,15,0.6666666666666666,26,1.7333333333333334,471,79978,6,4
237,30,0.1333333333333333,38,1.2666666666666666,640,77774,6,4
238,1,0.0,2,2.0,1036,70500,0,1
239,2,1.0,4,2.0,834,74251,3,3
240,3,1.0,5,1.6666666666666667,714,66520,3,3
241,3,1.0,6,2.0,814,10602,2,2
242,1,0.0,2,2.0,1026,20039,4,1
243,1,0.0,3,3.0,1026,79740,0,1
244,4,0.5,7,1.75,1066,83513,3,3
245,9,0.6666666666666666,18,2.0,562,975,2,2
246,2,0.0,2,1.0,566,9179,4,6
247,1,0.0,1,1.0,1020,79981,0,0
248,7,0.8571428571428571,12,1.7142857142857142,528,74615,3,3
249,8,0.5,20,2.5,569,13271,5,2
250,20,0.55,39,1.95,786,65590,6,4
251,6,0.1666666666666666,12,2.0,1022,1945,4,1
252,54,0.5185185185185185,113,2.092592592592593,736,5984,1,5
253,1,1.0,2,2.0,1015,67200,3,3
254,2,0.5,3,1.5,840,17880,4,2
255,68,0.6029411764705882,156,2.294117647058824,622,66941,1,5
